1,1,G,Juan Gomez,recibirmailayudantias@gmail.com,0,0
1,2,A,Maria Torres,recibirmailayudantias@gmail.com,0,0
1,9,A,Pedro Yorio,recibirmailayudantias@gmail.com,0,0
2,4,A,Lucas Cordoba,recibirmailayudantias@gmail.com,0,0
2,3,G,Laura Gutierrez,recibirmailayudantias@gmail.com,0,0
2,1,G,Juan Gomez,recibirmailayudantias@gmail.com,0,0
3,1,G,Juan Gomez,recibirmailayudantias@gmail.com,0,0
3,4,A,Lucas Cordoba,recibirmailayudantias@gmail.com,0,0
3,5,A,Graciela Nuñez,recibirmailayudantias@gmail.com,0,0
4,6,A,Marcos Herrera,recibirmailayudantias@gmail.com,0,0
4,1,G,Juan Gomez,recibirmailayudantias@gmail.com,0,0
4,7,A,Milagros Perez,recibirmailayudantias@gmail.com,0,0
4,8,A,Lorena Juarez,recibirmailayudantias@gmail.com,0,0
